Date,PM10
7/23/2017,31
7/24/2017,40
7/24/2017,33
7/25/2017,20
7/26/2017,16
7/27/2017,20
7/28/2017,17
7/29/2017,20
7/30/2017,22
7/30/2017,19
7/31/2017,23
8/1/2017,27
8/3/2017,47
8/4/2017,46
8/5/2017,37
8/5/2017,32
8/6/2017,64
8/7/2017,58
8/8/2017,36
8/9/2017,26
8/10/2017,25
8/11/2017,32
8/11/2017,27
8/12/2017,21
8/13/2017,17
8/14/2017,24
8/15/2017,14
8/16/2017,21
8/17/2017,25
8/17/2017,23
8/18/2017,21
8/19/2017,24
8/20/2017,27
8/21/2017,34
8/22/2017,32
8/23/2017,25
8/23/2017,23
8/24/2017,16
8/25/2017,28
8/26/2017,22
8/27/2017,22
8/28/2017,26
8/29/2017,42
8/29/2017,36
8/30/2017,30
8/31/2017,70
9/1/2017,79
9/2/2017,64
9/3/2017,45
9/4/2017,21
9/4/2017,26
9/6/2017,44
9/7/2017,30
9/8/2017,27
9/9/2017,32
9/10/2017,29
9/10/2017,20
9/11/2017,31
9/12/2017,39
9/13/2017,24
9/14/2017,10
9/15/2017,21
9/16/2017,18
9/16/2017,17
9/17/2017,14
9/18/2017,19
9/19/2017,4
10/2/2017,5
10/3/2017,5
10/4/2017,6
10/5/2017,8
10/5/2017,7
10/6/2017,7
10/6/2017,10
10/7/2017,10
10/7/2017,11
10/8/2017,11
10/8/2017,8
10/9/2017,9
10/11/2017,26
10/13/2017,16
10/14/2017,17
10/15/2017,7
10/19/2017,24
10/20/2017,24
10/21/2017,4
10/22/2017,6
10/23/2017,8
10/24/2017,17
10/25/2017,18
10/28/2017,19
10/29/2017,12
10/30/2017,18
10/31/2017,15
11/1/2017,21
11/2/2017,24
11/3/2017,16
11/4/2017,3
11/5/2017,2
11/6/2017,4
11/7/2017,5
11/8/2017,11
11/9/2017,16
11/9/2017,17
11/10/2017,18
11/11/2017,7
11/12/2017,6
11/13/2017,13
11/14/2017,10
11/15/2017,15
11/15/2017,14
11/16/2017,80
11/17/2017,2
11/18/2017,5
11/19/2017,9
11/20/2017,14
11/21/2017,12
11/21/2017,12
11/22/2017,14
11/23/2017,12
11/24/2017,6
11/25/2017,9
11/26/2017,13
11/27/2017,8
11/28/2017,7
11/29/2017,9
11/30/2017,14
12/1/2017,17
12/2/2017,9
12/3/2017,10
12/3/2017,10
12/4/2017,5
12/5/2017,10
12/6/2017,13
12/7/2017,12
12/8/2017,18
12/9/2017,14
12/9/2017,15
12/10/2017,9
12/11/2017,12
12/12/2017,19
12/13/2017,19
12/14/2017,26
12/15/2017,30
12/15/2017,31
12/16/2017,16
12/17/2017,9
12/18/2017,16
12/19/2017,27
12/20/2017,12
12/21/2017,7
12/21/2017,6
12/22/2017,14
12/23/2017,2
12/24/2017,7
12/25/2017,19
12/26/2017,15
12/27/2017,25
12/27/2017,26
12/28/2017,27
12/29/2017,30
12/30/2017,14
12/31/2017,7
1/1/2018,18
1/2/2018,22
1/2/2018,23
1/3/2018,29
1/4/2018,40
1/5/2018,54
1/6/2018,36
1/7/2018,20
1/8/2018,11
1/8/2018,11
1/9/2018,15
1/10/2018,4
1/11/2018,7
1/12/2018,6
1/13/2018,9
1/14/2018,11
1/14/2018,11
1/15/2018,14
1/16/2018,14
1/17/2018,19
1/18/2018,23
1/19/2018,8
1/20/2018,3
1/20/2018,4
1/21/2018,7
1/22/2018,11
1/24/2018,29
1/25/2018,20
1/26/2018,7
1/26/2018,8
1/27/2018,10
1/28/2018,15
1/29/2018,19
1/30/2018,18
1/31/2018,11
2/1/2018,11
2/1/2018,11
2/2/2018,15
2/3/2018,22
2/4/2018,23
2/5/2018,6
2/6/2018,4
2/7/2018,18
2/7/2018,17
2/8/2018,12
2/9/2018,11
2/10/2018,5
2/11/2018,7
2/12/2018,12
2/13/2018,14
2/13/2018,15
2/14/2018,16
2/15/2018,4
2/16/2018,10
2/17/2018,9
2/18/2018,24
2/19/2018,6
2/19/2018,6
2/20/2018,6
2/23/2018,16
2/24/2018,8
2/25/2018,4
2/26/2018,7
2/27/2018,7
2/28/2018,12
3/1/2018,17
3/2/2018,24
3/3/2018,4
3/3/2018,5
3/4/2018,1
3/7/2018,20
3/8/2018,43
3/9/2018,44
3/9/2018,45
3/10/2018,13
3/11/2018,9
3/12/2018,12
3/13/2018,14
3/14/2018,8
3/15/2018,2
3/15/2018,2
3/16/2018,3
3/17/2018,3
3/18/2018,2
3/19/2018,5
3/20/2018,6
3/21/2018,7
3/21/2018,7
3/22/2018,14
3/23/2018,2
3/24/2018,4
3/25/2018,2
3/26/2018,3
3/27/2018,4
3/27/2018,4
3/28/2018,9
3/29/2018,10
3/30/2018,11
3/31/2018,9
4/1/2018,13
4/2/2018,11
4/2/2018,13
4/3/2018,6
4/4/2018,11
4/5/2018,12
4/6/2018,3
4/7/2018,4
4/8/2018,4
4/8/2018,2
4/9/2018,5
4/10/2018,13
4/11/2018,15
4/12/2018,5
4/13/2018,3
4/14/2018,6
4/14/2018,7
4/15/2018,9
4/16/2018,28
4/17/2018,5
4/18/2018,6
4/19/2018,11
4/20/2018,15
4/20/2018,17
4/21/2018,15
4/22/2018,12
4/23/2018,12
4/25/2018,13
4/26/2018,20
4/26/2018,20
4/27/2018,25
4/28/2018,36
4/29/2018,15
4/30/2018,2
5/1/2018,4
5/2/2018,5
5/2/2018,5
5/3/2018,8
5/4/2018,12
5/5/2018,15
5/6/2018,15
5/7/2018,18
5/8/2018,17
5/8/2018,17
5/9/2018,26
5/10/2018,17
5/11/2018,5
5/12/2018,3
5/13/2018,4
5/14/2018,8
5/14/2018,6
5/15/2018,10
5/16/2018,11
5/17/2018,14
5/18/2018,11
5/19/2018,9
5/20/2018,9
5/20/2018,9
5/21/2018,15
5/22/2018,15
5/23/2018,7
5/24/2018,13
5/25/2018,17
5/26/2018,21
5/26/2018,21
5/27/2018,10
5/28/2018,9
5/29/2018,9
5/30/2018,13
5/31/2018,15
6/1/2018,6
6/1/2018,7
6/2/2018,12
6/3/2018,12
6/4/2018,18
6/5/2018,20
6/6/2018,22
6/7/2018,31
6/7/2018,31
6/8/2018,34
6/9/2018,45
6/10/2018,17
6/11/2018,19
6/12/2018,16
6/13/2018,28
6/13/2018,28
6/14/2018,36
6/15/2018,26
6/16/2018,21
6/17/2018,17
6/18/2018,10
6/19/2018,10
6/19/2018,10
6/20/2018,12
6/21/2018,29
6/22/2018,16
6/23/2018,27
6/24/2018,13
6/25/2018,17
6/25/2018,17
6/26/2018,28
6/27/2018,26
6/28/2018,37
6/29/2018,19
6/30/2018,14
7/1/2018,15
7/1/2018,15
7/2/2018,23
7/3/2018,29
7/4/2018,28
7/5/2018,38
7/6/2018,34
7/7/2018,32
7/7/2018,29
7/8/2018,29
7/9/2018,33
7/10/2018,32
7/11/2018,39
7/12/2018,28
7/13/2018,28
7/13/2018,29
7/14/2018,29
7/15/2018,22
7/16/2018,45
7/17/2018,21
7/19/2018,32
7/19/2018,31
7/20/2018,37
7/21/2018,40
7/22/2018,29
7/23/2018,27
7/24/2018,35
7/25/2018,45
7/25/2018,43
7/26/2018,40
7/27/2018,38
7/28/2018,39
7/29/2018,36
7/30/2018,34
7/31/2018,45
7/31/2018,45
8/1/2018,64
8/2/2018,52
8/3/2018,33
8/4/2018,51
8/5/2018,53
8/6/2018,43
8/6/2018,44
8/7/2018,34
8/8/2018,34
8/9/2018,41
8/10/2018,39
8/11/2018,52
8/12/2018,55
8/12/2018,55
8/13/2018,57
8/14/2018,47
8/15/2018,43
8/16/2018,42
8/17/2018,43
8/18/2018,38
8/18/2018,38
8/19/2018,42
8/20/2018,67
8/21/2018,66
8/22/2018,51
8/23/2018,59
8/24/2018,70
8/24/2018,71
8/25/2018,59
8/26/2018,44
8/27/2018,25
8/28/2018,14
8/29/2018,27
8/30/2018,36
8/30/2018,37
8/31/2018,41
9/1/2018,42
9/2/2018,21
9/3/2018,36
9/4/2018,28
9/5/2018,24
9/11/2018,41
9/17/2018,41
9/23/2018,35
9/29/2018,58
10/4/2018,4
10/5/2018,4
10/5/2018,5
10/6/2018,6
10/7/2018,6
10/8/2018,7
10/9/2018,6
10/10/2018,3
10/11/2018,6
10/11/2018,6
10/12/2018,8
10/13/2018,10
10/14/2018,3
10/15/2018,8
10/16/2018,12
10/17/2018,10
10/17/2018,10
10/18/2018,10
10/19/2018,17
10/20/2018,18
10/21/2018,12
10/22/2018,11
10/23/2018,4
10/23/2018,4
10/24/2018,9
10/25/2018,9
10/26/2018,9
10/27/2018,12
10/28/2018,10
10/29/2018,9
10/29/2018,9
10/30/2018,9
10/31/2018,7
11/1/2018,8
11/2/2018,11
11/3/2018,8
11/4/2018,7
11/4/2018,7
11/5/2018,4
11/6/2018,6
11/7/2018,5
11/8/2018,8
11/9/2018,11
11/10/2018,14
11/10/2018,14
11/11/2018,6
11/12/2018,8
11/13/2018,12
11/14/2018,22
11/15/2018,22
11/16/2018,27
11/16/2018,25
11/17/2018,11
11/18/2018,5
11/19/2018,11
11/20/2018,13
11/21/2018,22
11/22/2018,15
11/22/2018,15
11/23/2018,2
11/24/2018,1
11/25/2018,4
11/26/2018,9
11/27/2018,20
11/28/2018,18
11/28/2018,18
11/29/2018,9
12/1/2018,5
12/2/2018,5
12/3/2018,4
12/6/2018,28
12/7/2018,29
12/8/2018,46
12/9/2018,35
12/10/2018,24
12/10/2018,24
12/11/2018,27
12/12/2018,11
12/13/2018,15
12/14/2018,22
12/15/2018,37
12/16/2018,34
12/16/2018,33
12/17/2018,42
12/18/2018,28
12/19/2018,7
12/20/2018,13
12/21/2018,12
12/22/2018,4
12/22/2018,4
12/23/2018,8
12/24/2018,15
12/25/2018,14
12/26/2018,3
12/27/2018,6
12/28/2018,10
12/28/2018,10
12/29/2018,12
12/30/2018,9
1/3/2019,26
1/8/2019,19
1/9/2019,44
1/9/2019,41
1/10/2019,50
1/11/2019,51
1/12/2019,9
1/13/2019,10
1/14/2019,16
1/15/2019,33
1/15/2019,33
1/16/2019,34
1/17/2019,4
1/18/2019,2
1/19/2019,10
1/20/2019,19
1/21/2019,4
1/21/2019,3
1/22/2019,8
1/23/2019,15
1/24/2019,22
1/25/2019,15
1/26/2019,23
1/27/2019,23
1/28/2019,22
1/29/2019,16
1/30/2019,25
1/31/2019,45
2/1/2019,50
2/2/2019,32
2/3/2019,2
2/4/2019,3
2/5/2019,2
2/6/2019,3
2/7/2019,5
2/8/2019,12
2/9/2019,25
2/10/2019,8
2/11/2019,5
2/12/2019,16
2/13/2019,9
2/14/2019,4
2/14/2019,5
2/15/2019,2
2/16/2019,2
2/17/2019,5
2/18/2019,7
2/19/2019,7
2/20/2019,5
2/24/2019,8
2/25/2019,6
2/26/2019,13
2/27/2019,10
2/28/2019,12
3/1/2019,4
3/2/2019,4
3/3/2019,5
3/4/2019,7
3/4/2019,6
3/5/2019,11
3/6/2019,8
3/7/2019,2
3/8/2019,3
3/9/2019,4
3/10/2019,5
3/11/2019,9
3/12/2019,14
3/13/2019,3
3/14/2019,4
3/15/2019,6
3/16/2019,9
3/16/2019,10
3/17/2019,9
3/18/2019,10
3/19/2019,10
3/20/2019,9
3/21/2019,12
3/22/2019,3
3/22/2019,3
3/23/2019,4
3/24/2019,2
3/25/2019,8
3/26/2019,12
3/27/2019,15
3/28/2019,5
3/28/2019,5
3/29/2019,4
3/30/2019,3
4/3/2019,1
4/3/2019,2
4/4/2019,3
4/5/2019,9
4/6/2019,2
4/7/2019,5
4/9/2019,4
4/9/2019,4
4/10/2019,2
4/11/2019,1
4/12/2019,2
4/13/2019,3
4/14/2019,3
4/15/2019,2
4/15/2019,1
4/16/2019,1
4/17/2019,3
4/18/2019,6
4/19/2019,7
4/20/2019,10
4/21/2019,3
4/21/2019,3
4/22/2019,3
4/23/2019,5
4/24/2019,8
4/25/2019,9
4/26/2019,12
4/27/2019,11
4/27/2019,12
4/28/2019,12
4/29/2019,10
4/30/2019,5
5/1/2019,3
5/2/2019,7
5/3/2019,12
5/3/2019,14
5/4/2019,13
5/5/2019,18
5/6/2019,19
5/7/2019,11
5/8/2019,6
5/9/2019,3
5/9/2019,3
5/10/2019,8
5/11/2019,15
5/12/2019,12
5/13/2019,22
5/14/2019,25
5/15/2019,27
5/15/2019,28
5/16/2019,16
5/17/2019,1
5/18/2019,2
5/19/2019,3
5/20/2019,3
5/21/2019,1
5/21/2019,2
5/22/2019,2
5/23/2019,2
5/24/2019,2
5/25/2019,5
5/26/2019,6
5/27/2019,3
5/27/2019,3
5/28/2019,2
5/29/2019,5
5/30/2019,6
5/31/2019,7
6/1/2019,9
6/2/2019,11
6/2/2019,11
6/3/2019,14
6/4/2019,14
6/5/2019,11
6/6/2019,14
6/7/2019,19
6/8/2019,4
6/9/2019,5
6/10/2019,8
6/11/2019,11
6/12/2019,15
6/13/2019,15
6/14/2019,16
6/15/2019,16
6/16/2019,14
6/17/2019,22
6/18/2019,15
6/19/2019,13
6/20/2019,27
6/21/2019,12
6/22/2019,9
6/23/2019,12
6/25/2019,23
6/26/2019,34
6/27/2019,25
6/28/2019,28
6/29/2019,21
6/30/2019,21
7/1/2019,17
7/2/2019,23
7/2/2019,27
7/3/2019,32
7/4/2019,16
7/5/2019,15
7/6/2019,20
7/7/2019,25
7/8/2019,29
7/8/2019,32
7/9/2019,15
7/10/2019,23
7/11/2019,25
7/12/2019,26
7/13/2019,27
7/14/2019,19
7/14/2019,21
7/15/2019,25
7/16/2019,28
7/17/2019,21
7/18/2019,27
7/19/2019,27
7/20/2019,25
7/20/2019,26
7/21/2019,25
7/22/2019,27
7/23/2019,31
7/24/2019,24
7/25/2019,15
7/26/2019,27
7/26/2019,36
7/27/2019,9
7/28/2019,14
7/29/2019,28
7/30/2019,23
7/31/2019,39
8/1/2019,20
8/2/2019,20
8/3/2019,23
8/4/2019,24
8/5/2019,28
8/6/2019,31
8/7/2019,19
8/8/2019,12
8/9/2019,18
8/10/2019,22
8/12/2019,13
8/13/2019,22
8/13/2019,0
8/14/2019,28
8/15/2019,31
8/16/2019,27
8/17/2019,26
8/18/2019,21
8/19/2019,0
8/20/2019,28
8/21/2019,27
8/22/2019,29
8/23/2019,37
8/24/2019,27
8/25/2019,24
8/25/2019,27
8/26/2019,24
8/27/2019,26
8/28/2019,31
8/29/2019,40
8/30/2019,22
8/31/2019,23
9/1/2019,23
9/2/2019,28
9/3/2019,32
9/4/2019,33
9/6/2019,18
9/6/2019,27
9/7/2019,22
9/8/2019,19
9/10/2019,22
9/11/2019,6
9/12/2019,9
9/12/2019,8
9/13/2019,10
9/14/2019,12
9/15/2019,15
9/16/2019,31
9/17/2019,18
9/18/2019,14
9/18/2019,13
9/19/2019,18
9/20/2019,4
9/21/2019,5
9/22/2019,6
9/23/2019,9
9/24/2019,11
9/24/2019,9
9/25/2019,12
9/26/2019,14
9/27/2019,10
9/30/2019,4
10/1/2019,6
10/2/2019,5
10/3/2019,9
10/4/2019,10
10/5/2019,4
10/6/2019,5
10/6/2019,5
10/8/2019,18
10/9/2019,13
10/10/2019,7
10/11/2019,9
10/12/2019,14
10/12/2019,15
10/13/2019,19
10/14/2019,20
10/15/2019,21
10/16/2019,26
10/17/2019,35
10/18/2019,6
10/18/2019,5
10/19/2019,4
10/20/2019,2
10/21/2019,4
10/22/2019,4
10/23/2019,4
10/24/2019,5
10/24/2019,7
10/25/2019,9
10/26/2019,9
10/27/2019,3
10/28/2019,7
10/30/2019,9
11/2/2019,12
11/3/2019,16
11/4/2019,15
11/5/2019,14
11/6/2019,6
11/7/2019,17
11/11/2019,11
11/14/2019,21
11/15/2019,21
11/16/2019,16
11/17/2019,17
11/17/2019,6
11/18/2019,22
11/19/2019,28
11/20/2019,12
11/21/2019,5
11/22/2019,10
11/23/2019,12
11/23/2019,17
11/24/2019,15
12/5/2019,31
12/6/2019,43
12/7/2019,17
12/8/2019,11
12/9/2019,8
12/10/2019,24
12/11/2019,31
12/12/2019,13
12/12/2019,13
12/13/2019,3
12/13/2019,3
12/14/2019,3
12/14/2019,3
12/15/2019,8
12/15/2019,8
12/16/2019,16
12/16/2019,16
12/17/2019,13
12/17/2019,13
12/18/2019,29
12/19/2019,46
12/19/2019,47
12/20/2019,63
12/20/2019,64
12/21/2019,51
12/21/2019,52
12/22/2019,66
12/22/2019,67
12/23/2019,68
12/23/2019,68
12/24/2019,17
12/24/2019,11
12/25/2019,6
12/26/2019,10
12/27/2019,5
12/28/2019,7
12/29/2019,10
12/30/2019,22
12/31/2019,24
1/1/2020,13
1/2/2020,6
1/3/2020,18
1/4/2020,16
1/5/2020,9
1/6/2020,7
1/7/2020,16
1/8/2020,18
1/9/2020,4
1/10/2020,11
1/10/2020,12
1/11/2020,9
1/12/2020,6
1/13/2020,3
1/14/2020,5
1/15/2020,12
1/16/2020,25
1/16/2020,25
1/17/2020,7
1/18/2020,13
1/19/2020,29
1/20/2020,44
1/21/2020,50
1/22/2020,16
1/22/2020,17
1/23/2020,17
1/24/2020,19
1/25/2020,17
1/26/2020,18
1/27/2020,5
1/28/2020,11
1/28/2020,11
1/29/2020,9
1/30/2020,9
1/31/2020,16
2/1/2020,31
2/2/2020,18
2/3/2020,3
2/3/2020,1
2/4/2020,9
2/5/2020,13
2/6/2020,10
2/7/2020,2
2/8/2020,3
2/9/2020,4
2/9/2020,5
2/10/2020,10
2/11/2020,15
2/12/2020,31
2/13/2020,27
2/14/2020,15
2/15/2020,7
2/15/2020,7
2/16/2020,4
2/17/2020,4
2/18/2020,10
2/19/2020,13
2/20/2020,14
2/21/2020,23
2/21/2020,25
2/22/2020,35
2/23/2020,33
2/24/2020,8
2/25/2020,10
2/26/2020,14
2/27/2020,31
2/27/2020,33
2/28/2020,31
2/29/2020,27
3/1/2020,3
3/2/2020,13
3/3/2020,16
3/4/2020,20
3/4/2020,19
3/5/2020,19
3/6/2020,31
3/7/2020,46
3/8/2020,5
3/9/2020,7
3/10/2020,3
3/11/2020,10
3/11/2020,10
3/12/2020,9
3/13/2020,17
3/14/2020,7
3/15/2020,5
3/16/2020,9
3/16/2020,9
3/17/2020,9
3/18/2020,4
3/19/2020,4
3/20/2020,5
3/21/2020,6
3/22/2020,4
3/22/2020,5
3/23/2020,6
3/25/2020,3
3/26/2020,3
3/27/2020,7
3/28/2020,9
3/28/2020,9
3/31/2020,5
4/1/2020,2
4/2/2020,3
4/3/2020,4
4/3/2020,5
4/5/2020,6
4/6/2020,7
4/7/2020,8
4/8/2020,9
4/9/2020,15
4/9/2020,15
4/10/2020,10
4/11/2020,14
4/12/2020,4
4/13/2020,30
4/14/2020,16
4/15/2020,5
4/15/2020,5
4/16/2020,3
4/17/2020,15
4/18/2020,14
4/19/2020,10
4/20/2020,18
4/21/2020,22
4/21/2020,23
4/22/2020,36
4/22/2020,34
4/23/2020,14
4/24/2020,10
4/25/2020,11
4/26/2020,16
4/27/2020,32
4/28/2020,19
4/28/2020,12
4/29/2020,25
4/30/2020,58
5/1/2020,19
5/2/2020,18
5/3/2020,11
5/3/2020,12
5/4/2020,13
5/5/2020,26
5/6/2020,94
5/7/2020,21
5/8/2020,25
5/9/2020,20
5/9/2020,22
5/10/2020,21
5/11/2020,72
5/12/2020,64
5/13/2020,9
5/14/2020,7
5/15/2020,13
5/15/2020,17
5/16/2020,12
5/17/2020,25
5/18/2020,44
5/19/2020,57
5/20/2020,18
5/21/2020,4
5/21/2020,5
5/22/2020,9
5/23/2020,3
5/24/2020,4
5/25/2020,5
5/26/2020,13
5/27/2020,12
5/28/2020,23
5/28/2020,23
5/29/2020,22
5/30/2020,19
5/31/2020,29
6/1/2020,29
6/2/2020,31
6/2/2020,34
6/3/2020,31
6/4/2020,28
6/6/2020,18
6/7/2020,5
6/8/2020,3
6/8/2020,4
6/9/2020,4
6/10/2020,7
6/11/2020,20
6/12/2020,31
6/13/2020,31
6/14/2020,9
6/14/2020,10
6/15/2020,21
6/16/2020,9
6/17/2020,3
6/18/2020,10
6/19/2020,11
6/20/2020,15
6/20/2020,16
6/21/2020,13
6/22/2020,18
6/23/2020,25
6/24/2020,22
6/25/2020,36
6/26/2020,22
6/26/2020,20
6/28/2020,23
6/29/2020,3
6/30/2020,2
7/1/2020,10
7/2/2020,24
7/2/2020,28
7/3/2020,28
7/4/2020,24
7/5/2020,19
7/6/2020,31
7/7/2020,38
7/8/2020,26
7/8/2020,27
7/9/2020,37
7/10/2020,38
7/11/2020,25
7/12/2020,27
7/13/2020,30
7/14/2020,33
7/14/2020,34
7/15/2020,25
7/16/2020,36
7/17/2020,36
7/18/2020,37
7/19/2020,25
7/20/2020,40
7/20/2020,43
7/22/2020,36
7/23/2020,20
7/24/2020,35
7/25/2020,27
7/26/2020,28
7/26/2020,30
7/27/2020,37
7/28/2020,32
7/29/2020,13
7/30/2020,27
7/31/2020,35
8/1/2020,34
8/1/2020,35
8/2/2020,24
8/3/2020,50
8/4/2020,41
8/5/2020,67
8/6/2020,34
8/7/2020,44
8/7/2020,46
8/8/2020,32
8/9/2020,23
8/10/2020,29
8/11/2020,31
8/12/2020,55
8/13/2020,52
8/13/2020,52
8/14/2020,40
8/15/2020,30
8/16/2020,24
8/17/2020,43
8/18/2020,89
8/19/2020,101
8/20/2020,60
8/21/2020,128
8/22/2020,88
8/23/2020,73
8/24/2020,260
8/25/2020,77
8/25/2020,79
8/26/2020,34
8/27/2020,60
8/28/2020,38
8/29/2020,39
8/30/2020,41
8/31/2020,44
8/31/2020,45
9/1/2020,31
9/2/2020,30
9/3/2020,33
9/4/2020,68
9/5/2020,35
9/6/2020,39
9/6/2020,41
9/7/2020,266
9/8/2020,29
9/9/2020,38
9/10/2020,22
9/11/2020,38
9/12/2020,39
9/12/2020,42
9/13/2020,36
9/14/2020,38
9/15/2020,46
9/16/2020,55
9/17/2020,59
9/18/2020,91
9/18/2020,89
9/19/2020,43
9/20/2020,16
9/21/2020,23
9/22/2020,33
9/23/2020,32
9/24/2020,45
9/24/2020,45
9/25/2020,45
9/26/2020,24
9/27/2020,16
9/28/2020,24
9/29/2020,32
9/30/2020,38
9/30/2020,42
10/1/2020,37
10/2/2020,41
10/3/2020,48
10/4/2020,45
10/5/2020,59
10/6/2020,66
10/6/2020,69
10/7/2020,77
10/8/2020,66
10/9/2020,50
10/10/2020,114
10/11/2020,8
10/12/2020,10
10/12/2020,12
10/13/2020,14
10/14/2020,23
10/15/2020,15
10/16/2020,19
10/17/2020,27
10/18/2020,10
10/18/2020,17
10/19/2020,16
10/20/2020,25
10/21/2020,32
10/22/2020,50
10/23/2020,30
10/24/2020,47
10/24/2020,43
10/25/2020,55
10/26/2020,31
10/27/2020,38
10/28/2020,26
10/29/2020,35
10/30/2020,30
10/30/2020,33
10/31/2020,23
11/1/2020,20
11/2/2020,37
11/3/2020,49
11/4/2020,34
11/5/2020,35
11/5/2020,37
11/6/2020,79
11/7/2020,27
11/8/2020,4
11/9/2020,14
11/10/2020,7
11/11/2020,5
11/11/2020,10
11/12/2020,8
11/13/2020,10
11/14/2020,4
11/15/2020,5
11/16/2020,11
11/17/2020,22
11/17/2020,24
11/18/2020,20
11/19/2020,15
11/20/2020,12
11/21/2020,13
11/22/2020,10
11/23/2020,20
11/23/2020,25
11/24/2020,14
11/25/2020,14
11/26/2020,3
11/27/2020,7
11/28/2020,13
11/29/2020,13
11/29/2020,15
11/30/2020,22
12/1/2020,13
12/2/2020,18
12/3/2020,18
12/4/2020,23
12/5/2020,23
12/5/2020,23
12/6/2020,23
12/7/2020,29
12/8/2020,30
12/9/2020,38
12/10/2020,35
12/11/2020,28
12/11/2020,29
12/12/2020,17
12/13/2020,8
12/14/2020,8
12/15/2020,10
12/16/2020,12
12/17/2020,17
12/17/2020,17
12/18/2020,11
12/19/2020,13
12/20/2020,17
12/21/2020,23
12/22/2020,12
12/23/2020,8
12/23/2020,8
12/24/2020,18
12/25/2020,23
12/26/2020,21
12/27/2020,10
12/28/2020,17
12/29/2020,20
12/31/2020,39
