Date,PM10
1/1/2017,25
1/1/2017,23
1/2/2017,18
1/3/2017,18
1/5/2017,13
1/6/2017,25
1/7/2017,40
1/8/2017,37
1/9/2017,2
1/10/2017,2
1/11/2017,2
1/12/2017,8
1/13/2017,22
1/14/2017,33
1/15/2017,44
1/20/2017,54
1/21/2017,18
1/23/2017,7
1/24/2017,3
1/25/2017,13
1/25/2017,12
1/27/2017,23
1/28/2017,23
1/29/2017,29
1/30/2017,47
1/31/2017,53
2/1/2017,72
2/2/2017,95
2/3/2017,72
2/4/2017,10
2/5/2017,13
2/6/2017,7
2/6/2017,11
2/7/2017,3
2/8/2017,6
2/9/2017,11
2/10/2017,2
2/11/2017,3
2/12/2017,7
2/12/2017,7
2/13/2017,16
2/14/2017,28
2/15/2017,30
2/16/2017,37
2/17/2017,22
2/18/2017,12
2/20/2017,4
2/21/2017,2
2/22/2017,1
2/24/2017,2
2/25/2017,7
2/26/2017,8
2/27/2017,5
2/28/2017,7
3/2/2017,17
3/2/2017,12
3/3/2017,26
3/5/2017,23
3/6/2017,11
3/7/2017,3
3/8/2017,4
3/10/2017,4
3/11/2017,4
3/12/2017,8
3/13/2017,9
3/14/2017,10
3/14/2017,9
3/15/2017,13
3/17/2017,13
3/18/2017,21
3/19/2017,5
3/20/2017,11
3/20/2017,9
3/21/2017,29
3/23/2017,5
3/24/2017,10
3/25/2017,4
3/26/2017,3
3/26/2017,3
3/27/2017,4
3/28/2017,3
3/29/2017,6
3/30/2017,3
3/31/2017,2
4/1/2017,6
4/1/2017,4
4/2/2017,5
4/3/2017,7
4/4/2017,4
4/5/2017,8
4/6/2017,14
4/7/2017,14
4/7/2017,12
4/8/2017,2
4/9/2017,2
4/10/2017,6
4/11/2017,10
4/12/2017,14
4/13/2017,25
4/13/2017,20
4/14/2017,3
4/15/2017,4
4/16/2017,8
4/17/2017,12
4/18/2017,6
4/19/2017,5
4/19/2017,4
4/21/2017,3
4/22/2017,6
4/23/2017,9
4/24/2017,4
4/25/2017,2
4/25/2017,2
4/26/2017,2
4/27/2017,5
4/28/2017,4
4/29/2017,4
4/30/2017,6
5/1/2017,6
5/1/2017,5
5/2/2017,6
5/3/2017,10
5/4/2017,13
5/5/2017,20
5/6/2017,20
5/7/2017,10
5/7/2017,9
5/8/2017,15
5/9/2017,22
5/11/2017,19
5/12/2017,0
5/13/2017,38
5/13/2017,9
5/14/2017,12
5/15/2017,1
5/16/2017,19
5/17/2017,1
5/18/2017,2
5/19/2017,3
5/19/2017,6
5/20/2017,6
5/21/2017,5
5/22/2017,11
5/23/2017,14
5/24/2017,18
5/25/2017,9
5/25/2017,7
5/26/2017,11
5/27/2017,6
5/28/2017,10
5/29/2017,15
5/30/2017,19
5/31/2017,22
5/31/2017,19
6/1/2017,28
6/2/2017,14
6/3/2017,15
6/4/2017,27
6/5/2017,40
6/6/2017,27
6/6/2017,23
6/7/2017,31
6/8/2017,41
6/10/2017,21
6/11/2017,24
6/12/2017,27
6/12/2017,22
6/13/2017,7
6/14/2017,11
6/15/2017,14
6/16/2017,19
6/17/2017,11
6/18/2017,10
6/18/2017,9
6/19/2017,15
6/20/2017,27
6/21/2017,28
6/22/2017,22
6/23/2017,26
6/24/2017,19
6/24/2017,14
6/25/2017,19
6/26/2017,27
6/27/2017,28
6/28/2017,24
6/29/2017,19
6/30/2017,15
6/30/2017,12
7/1/2017,20
7/2/2017,28
7/3/2017,32
7/4/2017,34
7/5/2017,38
7/6/2017,33
7/6/2017,29
7/7/2017,32
7/8/2017,38
7/9/2017,24
7/10/2017,24
7/11/2017,31
7/12/2017,40
7/13/2017,38
7/14/2017,38
7/15/2017,28
7/16/2017,33
7/17/2017,28
7/18/2017,30
7/18/2017,25
7/19/2017,36
7/20/2017,27
7/21/2017,32
7/22/2017,29
